id,skill_category_id,skill_name,scale,icon_class_name
1,1,C++,7,devicon-cplusplus-plain-wordmark
2,1,Python,7,devicon-python-plain-wordmark
3,1,C,6,devicon-c-plain-wordmark
4,1,Ruby,6,devicon-ruby-plain-wordmark
5,1,Java,6,devicon-java-plain-wordmark
6,1,JavaScript,5,devicon-javascript-plain
7,2,Object Oriented Principles,6,
8,2,Design Patterns,6,
9,2,Agile,6,
10,2,Scrum,6,
11,3,Angular JS,7,devicon-angularjs-plain-wordmark
12,3,Rails,7,devicon-rails-plain-wordmark
13,3,Ionic,6,
14,3,Ruby,6,devicon-ruby-plain-wordmark
15,4,Github,6,
16,4,Atoms,6,devicon-atom-original-wordmark
18,3,Bootstrap,6,devicon-bootstrap-plain-wordmark
19,5,HTML5,6,devicon-html5-plain-wordmark
20,5,CSS,6,devicon-css3-plain-wordmark
21,5,Angular JS,5,devicon-angularjs-plain-wordmark
22,5,Jquery,3,devicon-jquery-plain-wordmark
23,5,Javascript,4,devicon-javascript-plain
24,3,Jekyll,5,
25,6,MongoDB,4,devicon-mongodb-plain-wordmark
26,6,MySQL,4,devicon-mysql-plain-wordmark
